timestamp,Angle Velocity[deg/sec],Angle[deg]
11057,1.065674,158.928223,
11059,-0.499878,158.884277,
11061,-1.203003,158.845825,
11063,-0.395508,158.796387,
11065,-0.016479,158.774414,
11067,0.005493,158.757935,
11069,-0.576782,158.752441,
11071,0.021973,158.752441,
11073,1.345825,158.785400,
11075,-0.049438,158.785400,
11077,-0.554810,158.801880,
11079,0.285645,158.829346,
11081,0.357056,158.856812,
11083,0.060425,158.873291,
11085,0.153809,158.900757,
11087,0.747070,158.928223,
11089,0.186768,158.939209,
11091,0.247192,158.939209,
11093,-0.335083,158.944702,
11095,-1.021729,158.933716,
11097,0.560303,158.922729,
11099,-1.192017,158.928223,
11101,-1.845703,158.878784,
11103,-1.362305,158.829346,
11105,0.142822,158.774414,
11107,-1.461182,158.681030,
11109,-0.812988,158.549194,
11111,-0.417480,158.433838,
11113,-0.994263,158.285522,
11115,-1.560059,158.115234,
11117,-0.466919,157.961426,
11119,-1.120605,157.813110,
11121,-2.631226,157.648315,
11123,-2.477417,157.489014,
11125,-1.845703,157.340698,
11127,-1.774292,157.197876,
11129,-0.087891,157.060547,
11131,-1.329346,156.934204,
11133,-1.120605,156.846313,
11135,-1.224976,156.774902,
11137,-0.928345,156.703491,
11139,-0.461426,156.648560,
11141,0.021973,156.604614,
11143,-0.763550,156.566162,
11145,-0.505371,156.533203,
11147,-0.335083,156.533203,
11149,-0.642700,156.549683,
11151,-0.098877,156.593628,
11153,1.906128,156.648560,
11155,1.329346,156.708984,
11157,-0.477905,156.752930,
11159,-0.021973,156.813354,
11161,-0.252686,156.851807,
11163,0.510864,156.884766,
11165,0.818481,156.906738,
11167,-0.889893,156.906738,
11169,-0.302124,156.895752,
11171,0.000000,156.901245,
11173,-1.005249,156.917725,
11175,-1.005249,156.873779,
11177,0.142822,156.840820,
11179,-0.538330,156.780396,
11181,-0.230713,156.730957,
11183,-0.307617,156.681519,
11185,-0.587769,156.610107,
11187,-0.631714,156.533203,
11189,-0.296631,156.478271,
11191,-0.296631,156.417847,
11193,-0.554810,156.373901,
11195,-1.290894,156.318970,
11197,-0.664673,156.264038,
11199,-0.455933,156.192627,
11201,-0.516357,156.110229,
11203,-1.126099,156.016846,
11205,-1.290894,155.934448,
11207,-0.499878,155.852051,
11209,-0.889893,155.764160,
11211,-0.631714,155.676270,
11213,-0.818481,155.643311,
11215,-0.730591,155.621338,
11217,0.181274,155.588379,
11219,0.466919,155.566406,
11221,-0.247192,155.560913,
11223,-0.269165,155.544434,
11225,0.582275,155.549927,
11227,0.488892,155.571899,
11229,0.851440,155.593872,
11231,0.483398,155.604858,
11233,0.038452,155.637817,
11235,-0.120850,155.670776,
11237,0.291138,155.687256,
11239,0.313110,155.703735,
11241,-0.197754,155.709229,
11243,-0.582275,155.698242,
11245,-0.032959,155.681763,
11247,-0.648193,155.637817,
11249,-0.631714,155.588379,
11251,-0.324097,155.582886,
11253,0.236206,155.593872,
11255,1.159058,155.637817,
11257,0.043945,155.659790,
11259,0.038452,155.687256,
11261,0.236206,155.703735,
11263,-0.802002,155.714722,
11265,-0.582275,155.714722,
11267,0.170288,155.731201,
11269,-0.472412,155.736694,
11271,0.071411,155.747681,
11273,0.796509,155.753174,
11275,0.032959,155.791626,
11277,0.395508,155.841064,
11279,0.763550,155.901489,
11281,0.170288,155.961914,
11283,0.637207,156.038818,
11285,1.021729,156.104736,
11287,-0.153809,156.148682,
11289,-0.175781,156.187134,
11291,1.104126,156.220093,
11293,0.950317,156.275024,
11295,0.829468,156.357422,
11297,1.356812,156.450806,
11299,0.477905,156.560669,
11301,0.840454,156.670532,
11303,1.691895,156.774902,
11305,0.725098,156.851807,
11307,0.247192,156.923218,
11309,0.631714,156.967163,
11311,0.010986,156.994629,
11313,0.763550,157.016602,
11315,0.197754,157.038574,
11317,-0.615234,157.044067,
