timestamp,CN2-37(Gear tooth FR)[mm/s],CN2-27(Gear tooth FL)[mm/s],Difference(FR-FL)[mm/s],Error((FR-FL)/FR)[%],CN2-17(Gear tooth RR)[mm/s],CN2-7(Gear tooth RL)[mm/s],Difference(RR-RL)[mm/s],Error((RR-RL)/RR)[%],
11056,5779,5779,0,0.000,5372,5426,-54,-1.005,
11058,5201,5201,0,0.000,5354,5372,-18,-0.336,
11060,5201,5779,-578,-11.113,5299,5317,-18,-0.340,
11062,5201,5201,0,0.000,5263,5263,0,0.000,
11064,5201,5779,-578,-11.113,5245,5245,0,0.000,
11066,5201,5201,0,0.000,5209,5209,0,0.000,
11068,5201,5779,-578,-11.113,5191,5173,18,0.347,
11070,5201,5201,0,0.000,5227,5191,36,0.689,
11072,5779,5779,0,0.000,5245,5155,90,1.716,
11074,5779,5201,578,10.002,5209,5118,91,1.747,
11076,5201,5201,0,0.000,5118,5082,36,0.703,
11078,5201,5201,0,0.000,5100,5082,18,0.353,
11080,5201,5201,0,0.000,5028,5046,-18,-0.358,
11082,5201,5201,0,0.000,5010,4956,54,1.078,
11084,5201,5201,0,0.000,5010,4938,72,1.437,
11086,5201,5201,0,0.000,4992,4938,54,1.082,
11088,5201,5201,0,0.000,4974,4901,73,1.468,
11090,4623,5201,-578,-12.503,4956,4901,55,1.110,
11092,5201,5201,0,0.000,4919,4901,18,0.366,
11094,5201,5201,0,0.000,4883,4865,18,0.369,
11096,5201,5201,0,0.000,4847,4847,0,0.000,
11098,4623,5201,-578,-12.503,4793,4847,-54,-1.127,
11100,4623,5201,-578,-12.503,4757,4793,-36,-0.757,
11102,4623,5201,-578,-12.503,4702,4739,-37,-0.787,
11104,5201,4623,578,11.113,4720,4775,-55,-1.165,
11106,4623,5201,-578,-12.503,4720,4775,-55,-1.165,
11108,4623,5201,-578,-12.503,4720,4757,-37,-0.784,
11110,5201,4623,578,11.113,4702,4775,-73,-1.553,
11112,4623,5201,-578,-12.503,4612,4720,-108,-2.342,
11114,4623,5201,-578,-12.503,4612,4720,-108,-2.342,
11116,4623,4623,0,0.000,4594,4702,-108,-2.351,
11118,4623,5201,-578,-12.503,4522,4666,-144,-3.184,
11120,4623,5201,-578,-12.503,4485,4630,-145,-3.233,
11122,4623,4623,0,0.000,4467,4612,-145,-3.246,
11124,4623,4623,0,0.000,4467,4558,-91,-2.037,
11126,4623,5201,-578,-12.503,4467,4576,-109,-2.440,
11128,4623,5201,-578,-12.503,4485,4594,-109,-2.430,
11130,4623,4623,0,0.000,4485,4558,-73,-1.628,
11132,4623,4623,0,0.000,4467,4576,-109,-2.440,
11134,4623,4623,0,0.000,4395,4485,-90,-2.048,
11136,4623,4623,0,0.000,4341,4395,-54,-1.244,
11138,4623,4623,0,0.000,4323,4341,-18,-0.416,
11140,4623,4623,0,0.000,4323,4359,-36,-0.833,
11142,4623,4623,0,0.000,4323,4341,-18,-0.416,
11144,4045,4623,-578,-14.289,4341,4341,0,0.000,
11146,4623,4045,578,12.503,4304,4286,18,0.418,
11148,4623,4623,0,0.000,4304,4286,18,0.418,
11150,4623,4623,0,0.000,4268,4268,0,0.000,
11152,4045,4045,0,0.000,4178,4160,18,0.431,
11154,4623,4045,578,12.503,4124,4142,-18,-0.436,
11156,4623,4045,578,12.503,4124,4087,37,0.897,
11158,4045,4623,-578,-14.289,4124,4051,73,1.770,
11160,4045,4045,0,0.000,4105,3979,126,3.069,
11162,4623,4623,0,0.000,4105,3943,162,3.946,
11164,4045,4045,0,0.000,4069,3961,108,2.654,
11166,4045,4623,-578,-14.289,4015,3997,18,0.448,
11168,4045,4045,0,0.000,4015,3997,18,0.448,
11170,4045,4045,0,0.000,3925,3961,-36,-0.917,
11172,4045,4045,0,0.000,3888,3925,-37,-0.952,
11174,4045,4045,0,0.000,3816,3852,-36,-0.943,
11176,4045,4045,0,0.000,3780,3780,0,0.000,
11178,3467,4045,-578,-16.671,3689,3726,-37,-1.003,
11180,3467,3467,0,0.000,3671,3726,-55,-1.498,
11182,4045,4045,0,0.000,3653,3744,-91,-2.491,
11184,4045,4045,0,0.000,3635,3762,-127,-3.494,
11186,4045,3467,578,14.289,3671,3744,-73,-1.989,
11188,3467,4045,-578,-16.671,3617,3708,-91,-2.516,
11190,3467,4045,-578,-16.671,3617,3671,-54,-1.493,
11192,3467,4045,-578,-16.671,3599,3635,-36,-1.000,
11194,4045,4045,0,0.000,3527,3563,-36,-1.021,
11196,4045,4045,0,0.000,3527,3545,-18,-0.510,
11198,3467,3467,0,0.000,3472,3509,-37,-1.066,
11200,3467,3467,0,0.000,3400,3509,-109,-3.206,
11202,4045,4045,0,0.000,3418,3509,-91,-2.662,
11204,3467,3467,0,0.000,3418,3509,-91,-2.662,
11206,3467,3467,0,0.000,3328,3490,-162,-4.868,
11208,3467,3467,0,0.000,3364,3454,-90,-2.675,
11210,3467,3467,0,0.000,3346,3400,-54,-1.614,
11212,3467,3467,0,0.000,3310,3364,-54,-1.631,
11214,2889,3467,-578,-20.007,3273,3346,-73,-2.230,
11216,3467,3467,0,0.000,3292,3328,-36,-1.094,
11218,3467,3467,0,0.000,3310,3292,18,0.544,
11220,3467,3467,0,0.000,3310,3310,0,0.000,
11222,3467,3467,0,0.000,3273,3310,-37,-1.130,
11224,2889,3467,-578,-20.007,3292,3255,37,1.124,
11226,3467,2889,578,16.671,3183,3165,18,0.566,
11228,2889,3467,-578,-20.007,3183,3147,36,1.131,
11230,3467,3467,0,0.000,3237,3183,54,1.668,
11232,3467,3467,0,0.000,3219,3147,72,2.237,
11234,3467,2889,578,16.671,3219,3147,72,2.237,
11236,3467,3467,0,0.000,3255,3183,72,2.212,
11238,2889,2889,0,0.000,3255,3165,90,2.765,
11240,3467,2889,578,16.671,3201,3219,-18,-0.562,
11242,3467,2889,578,16.671,3129,3165,-36,-1.151,
11244,3467,3467,0,0.000,3129,3147,-18,-0.575,
11246,3467,3467,0,0.000,3093,3111,-18,-0.582,
11248,3467,3467,0,0.000,3111,3093,18,0.579,
11250,3467,2889,578,16.671,3129,3111,18,0.575,
11252,3467,2889,578,16.671,3111,3147,-36,-1.157,
11254,3467,2889,578,16.671,3129,3147,-18,-0.575,
11256,2889,2889,0,0.000,3129,3111,18,0.575,
