datFile    
AHG1 10.110.21.16 10.111.218.45         
AHG101 10.110.22.17 10.111.218.182         
AHG102 10.110.22.18 10.111.218.226         
AHG103 10.110.22.19 10.111.219.79         
AHG105 10.110.22.21 unknown         
AHG106 10.110.22.22 10.111.218.131         
AHG107 10.110.22.23 unknown         
AHG108 10.110.22.24 10.111.218.159         
AHG109 10.110.22.25 10.111.218.167         
AHG11 10.110.21.26 10.111.218.55         
AHG110 10.110.22.26 10.111.218.188         
AHG111 10.110.22.27 unknown         
AHG112 10.110.22.28 unknown         
AHG113 10.110.22.29 10.111.219.55         
AHG114 10.110.22.30 10.111.219.59         
AHG115 10.110.22.31 unknown         
AHG116 10.110.22.32 unknown         
AHG117 10.110.22.33 10.111.218.224         
AHG118 10.110.22.34 10.111.218.215         
AHG119 10.110.22.35 unknown         
AHG12 10.110.21.27 10.111.218.56         
AHG120 10.110.22.36 unknown         
AHG121 10.110.22.37 unknown         
AHG122 10.110.22.38 unknown         
AHG123 10.110.22.39 unknown         
AHG124 10.110.22.40 unknown         
AHG125 10.110.22.59 10.111.219.96         
AHG126 10.110.21.71 10.111.218.143         
AHG128 10.110.22.64 10.111.219.148         
AHG129 10.110.21.69 10.111.218.141         
AHG13 10.110.21.28 10.111.218.57         
AHG131 10.110.21.53 unknown         
AHG132 10.110.21.51 10.111.218.93         
AHG133 10.110.21.49 unknown         
AHG134 10.110.21.47 unknown         
AHG135 10.110.21.85 unknown         
AHG14 10.110.21.29 10.111.218.58         
AHG141 10.110.22.16 unknown         
AHG142 10.110.21.97 unknown         
AHG144 10.110.22.86 10.111.219.191         
AHG146 10.110.21.52 unknown         
AHG147 10.110.21.54 unknown         
AHG15 10.110.21.30 10.111.218.59         
AHG150 10.110.21.65 10.111.218.121         
AHG151 10.110.21.90 unknown         
AHG152 10.110.21.58 unknown         
AHG159 10.110.21.25 10.111.218.54         
AHG160 10.110.22.66 10.111.219.152         
AHG161 10.110.22.67 unknown         
AHG162 10.110.22.69 10.111.219.154         
AHG163 10.110.22.70 10.111.219.155         
AHG164 10.110.22.71 10.111.219.156         
AHG165 10.110.22.72 10.111.219.157         
AHG166 10.110.22.73 10.111.219.158         
AHG167 10.110.22.74 10.111.219.159         
AHG168 10.110.22.75 10.111.219.160         
AHG169 10.110.22.76 10.111.219.161         
AHG17 10.110.21.32 10.111.218.61         
AHG170 10.110.22.77 10.111.219.162         
AHG171 10.110.22.78 10.111.219.163         
AHG173 10.110.21.70 10.111.218.142         
AHG177 10.110.21.81 unknown         
AHG18 10.110.21.33 10.111.218.62         
AHG183 10.110.22.85 10.111.219.190         
AHG185 10.110.21.56 unknown         
AHG186 10.110.22.20 unknown         
AHG187 10.110.21.55 10.111.218.97         
AHG188 10.110.21.57 unknown         
AHG19 10.110.21.34 10.111.218.63         
AHG190 10.110.22.97 unknown         
AHG191 10.110.21.67 unknown         
AHG199 10.110.21.59 10.111.218.115         
AHG2 10.110.21.17 10.111.218.46         
AHG20 10.110.21.35 10.111.218.64         
AHG203 10.110.22.58 10.111.218.213         
AHG204 10.110.21.31 10.111.218.60         
AHG21 10.110.21.39 10.111.218.69         
AHG22 10.110.21.40 10.111.218.70         
AHG228 10.110.22.65 10.111.219.150         
AHG23 10.110.21.41 10.111.218.71         
AHG231 10.110.22.105 unknown         
AHG232 10.110.22.106 unknown         
AHG233 10.110.22.109 unknown         
AHG234 10.110.22.110 unknown         
AHG24 10.110.21.42 10.111.218.72         
AHG25 10.110.21.43 10.111.218.73         
AHG26 10.110.21.44 10.111.218.74         
AHG27 10.110.21.45 10.111.218.75         
AHG28 10.110.21.46 10.111.218.76         
AHG3 10.110.21.18 10.111.218.47         
AHG32 10.110.21.50 10.111.218.92         
AHG4 10.110.21.19 10.111.218.48         
AHG42 10.110.21.60 10.111.218.116         
AHG43 10.110.21.61 10.111.218.117         
AHG44 10.110.21.62 10.111.218.118         
AHG45 10.110.21.63 10.111.218.119         
AHG46 10.110.21.64 10.111.218.120         
AHG48 10.110.21.66 10.111.218.122         
AHG5 10.110.21.20 10.111.218.49         
AHG50 10.110.21.68 10.111.218.140         
AHG54 10.110.21.72 10.111.218.244         
AHG55 10.110.21.73 10.111.218.245         
AHG56 10.110.21.74 10.111.218.246         
AHG57 10.110.21.75 10.111.218.247         
AHG58 10.110.21.76 10.111.218.248         
AHG59 10.110.21.77 10.111.218.249         
AHG6 10.110.21.21 10.111.218.50         
AHG60 10.110.21.78 10.111.219.144         
AHG61 10.110.21.79 10.111.218.251         
AHG62 10.110.21.80 10.111.218.252         
AHG64 10.110.21.82 10.111.218.254         
AHG65 10.110.21.83 10.111.218.255         
AHG66 10.110.21.84 10.111.219.0         
AHG68 10.110.21.86 10.111.219.2         
AHG69 10.110.21.87 10.111.219.27         
AHG7 10.110.21.22 10.111.218.51         
AHG70 10.110.21.88 10.111.219.28         
AHG71 10.110.21.89 10.111.219.29         
AHG73 10.110.21.91 10.111.219.31         
AHG74 10.110.21.92 10.111.219.32         
AHG75 10.110.21.93 10.111.219.33         
AHG76 10.110.21.94 10.111.219.34         
AHG77 10.110.21.95 10.111.219.35         
AHG78 10.110.21.96 10.111.219.36         
AHG8 10.110.21.23 10.111.218.52         
AHG80 10.110.21.98 10.111.219.38         
AHG81 10.110.21.99 10.111.219.39         
AHG82 10.110.21.100 10.111.219.40         
AHG83 10.110.21.101 10.111.219.41         
AHG84 10.110.21.102 10.111.219.42         
AHG85 10.110.21.103 10.111.219.43         
AHG86 10.110.21.104 10.111.219.44         
AHG87 10.110.21.105 unknown         
AHG88 10.110.21.106 10.111.219.46         
AHG89 10.110.21.107 10.111.219.140         
AHG9 10.110.21.24 10.111.218.53         
AHG90 10.110.21.108 10.111.219.141         
AHG91 10.110.21.109 10.111.219.49         
AHG93 10.110.21.111 10.111.219.143         
AHG94 10.110.21.112 10.111.219.52         
AHG95 10.110.21.113 10.111.219.53         
AHG96 10.110.21.110 unknown         
AHG97 10.110.22.49 10.111.219.51         
AHG98 10.110.22.53 10.111.218.191         
AHG99 10.110.22.15 10.111.218.197         
APS25 10.110.21.252 10.111.218.243         
APS31 10.110.21.251 10.111.218.242         
AWT9 10.110.22.8 10.111.218.241         
BLAST7 10.110.22.9 unknown         
BLAST8 10.110.21.203 unknown         
BLAST9 10.110.22.100 unknown         
C108 10.110.22.93 10.111.218.208         
C111 10.110.20.130 unknown         
CABLE_2 10.110.22.55 unknown         
DN592 10.110.21.253 10.111.218.237         
DN593 10.110.21.254 10.111.218.238         
DN595 10.110.22.1 10.111.218.239         
DN596 10.110.22.2 10.111.218.240         
DZ003 10.110.22.150 unknown         
DZ05CPH 10.110.21.122 10.111.218.212         
DZ114NPE 10.110.21.194 unknown         
DZ31NPE 10.110.21.195 unknown         
DZ32NPE 10.110.21.196 unknown         
DZ978 10.110.22.102 10.111.219.165         
DZ979 10.110.22.99 unknown         
EL18 10.110.21.198 10.111.218.173         
EL19 10.110.21.201 10.111.218.180         
EL20 10.110.21.229 10.111.218.165         
EL21 10.110.22.82 10.111.219.187         
EX259 10.110.22.136 unknown         
EX266 10.110.22.108 unknown         
EXD265 10.110.21.185 10.111.218.83         
EXD30 10.110.21.14 10.111.218.42         
EXD48 10.110.21.189 10.111.219.14         
EXD49 10.110.21.191 10.111.219.58         
EXD53 10.110.22.6 10.111.219.81         
EXD54 10.110.22.12 10.111.218.223         
EXD55 10.110.21.188 10.111.218.205         
EXD61 10.110.22.101 10.111.218.103         
EXD66 10.110.21.187 10.111.218.170         
EXD67 10.110.21.184 10.111.218.67         
EXD68 10.110.21.15 10.111.218.43         
EXD69 10.110.22.83 10.111.219.189         
EXD70 10.110.22.84 10.111.219.188         
EXD80 10.110.21.233 10.111.218.162         
EXD81 10.110.21.243 10.111.218.179         
EXD82 10.110.21.244 10.111.219.10         
FB1 10.110.20.15 10.111.218.44         
FB2 10.110.20.16 10.111.218.84         
FB3 10.110.20.17 unknown         
FB4 10.110.20.18 10.111.219.94         
GR124NPE 10.110.21.200 unknown         
GR127NPE 10.110.21.210 unknown         
GR128NPE 10.110.21.199 unknown         
GR21 10.110.22.103   
GR4_ESC 10.110.22.43 unknown         
GR999_ESC 10.110.22.111 unknown         
GRD131 10.110.21.8 10.111.218.36         
GRD132 10.110.21.9 10.111.218.37         
GRD133_ESC 10.110.21.160 unknown         
GRD136 10.110.21.10 10.111.218.38         
GRD152 10.110.21.165 10.111.218.181         
GRD153 10.110.21.164 10.111.218.169         
GRD154 10.110.21.167 10.111.218.192         
GRD155 10.110.21.36 10.111.218.82         
GRD156 10.110.21.163 10.111.218.134         
GRD157 10.110.21.162 10.111.218.101         
GRD163 10.110.21.168 10.111.218.214         
GRD164 10.110.21.166 10.111.218.185         
GRD165 10.110.21.169 10.111.219.6         
JJ21BQ 10.110.22.60 10.111.218.87         
L12 10.110.21.117 10.111.218.129         
L13 10.110.21.250 10.111.219.139         
L4 10.110.21.202 unknown         
L9 10.110.21.2 10.111.218.30         
LD02 10.110.21.116 10.111.218.128         
LDW0208 10.110.21.120 10.111.218.168         
